Unnamed: 0,label,MainText,sms,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
6349.0,phishing,<subject: bofa notification: 80168742> we've locked bank america account due unusual activity. new login : [254.27.40.179 - zimbabwe ] browser: uc browser restore account click link below: https://api.hubapi.com/ctc /zw+23284/d2l62n04/jk82-6q7w5bw0b061z3plw6qjyvj6j nbb9w75vnln5g61zvw1vhztp53vtk-w8vnqn336nw6kw556bxqt7bxvsxw7bbhz06vfc7w4p1c3v6ilh0sn7wpgfjds5rvw277m1-1vhbvxw2ms7fj1q2c lyvchgwq40kipqw515nb68m6k r2w1xmilr64z56hw6hqvcf6mpbrmw2n9ynb8clk0zw461pgf8kdxjtf1tqhmp04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504.0,phishing,u’ve bin awarded £50 play 4 instant cash. call 08715203028 claim. every 9th player win min £50-£500. optout 08718727870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2185.0,ham,stupid.its possible..u!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3232.0,ham,yar lor... u noe? u used dat route too?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6286.0,phishing,vevor: miss must-buy list! weekly updated best promotion offers! hurry!>> https://zgz.nu/df9aozbt reply stop stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4731.0,ham,always brainy one.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5001.0,ham,thats cool princess!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4295.0,ham,"said,'' u mind go bedroom minute ? '' ''ok'', sed sexy mood.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6790.0,phishing,ca dept public health notified covid-19 test. tap https://us-ca.en.express/v?c=dtw46uajpeqjk43e tested positive using ca notify (exposure notifications) anonymously alert people may exposed. (link expires 24 hours). personal info shared users. text stop stop / help help call 833-422-4255. \nauthentication:0204:r5v5sms:meqcigq1nhg8f7nzlm2si68ya/674mv6/p4tkqkeqihudv7aiabn848sebws/qgek1vzt00xckoni3azj8f1ovbeawywg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098.0,ham,yoyyooo u know change permission drive mac. usb flash drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133.0,ham,dun need use dial juz open da browser n surf...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453.0,ham,"christmas occasion celebrated reflection ur... values..., desires..., affections...&amp; traditions.... ideal christmas...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5298.0,phishing,panasonic & bluetoothhdset free. nokia free. motorola free & doublemins & doubletxt orange contract. call mobileupd8 08000839402 call 2optout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500.0,phishing,"nationwide noticed debit card recently used 25-10-2015 13.04.43, apple online store 1976.00 gbp. please urgently call fraud preventaion 03303800232 intl +443303800231. reply sm http://www.nationwide.co.uk/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2985.0,ham,"party's place usf, charge (but contribute way greatly appreciated) yeah, got room one",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4164.0,ham,pls pls drink plenty plenty water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3528.0,ham,vl bcum difficult..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438.0,ham,got new year co yetunde said wanted surprise didnt see money returned mid january &lt,#&gt, day return period ended.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430.0,ham,hey u still gym?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765.0,ham,think i've fixed send test message?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4625.0,ham,fyi i'm gonna call sporadically starting like &lt,#&gt, bc doin shit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5925.0,ham,yes think so. office lap room think thats last days. didnt shut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3067.0,ham,boy made fun today. ok problem. sent one message fun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4384.0,ham,haha think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593.0,ham,rounder:)so required:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5323.0,ham,"real, baby! want bring inner tigress...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2996.0,ham,getting threat sale executive shifad raised complaint him. official message.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6874.0,phishing,"[ i.r.s ] receive tax refund $573.00, cannot process due incomplete personal information. please confirm information link. https://irs.gov.safe-paying.com mission irs help american taxpayer understand meet tax obligation provide highest quality service.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497.0,ham,"also north carolina texas atm, would go gre site pay test result sent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322.0,phishing,want new video handset? 750 time network mins? unlimited text? camcorder? reply call 08000930705 del sat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866.0,ham,"hiya , u paying money account? so, thanks. got pleasant surprise checked balance -u c, get statement 4 acc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3978.0,ham,ee msg na poortiyagi odalebeku: hanumanji 7 name 1-hanuman 2-bajarangabali 3-maruti 4-pavanaputra 5-sankatmochan 6-ramaduth 7-mahaveer ee 7 name &lt,#&gt, janarige ivatte kalisidare next saturday olage ondu good news keluviri...! maretare inde 1 dodda problum nalli siguviri idu matra &lt,#&gt, % true.. neglet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5489.0,phishing,urgent please call 09066612661 landline. £5000 cash luxury 4* canary island holiday await collection. t&cs sae award. 20m12aq. 150ppm. 16+ “,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6759.0,phishing,tmobile 86666/ head up: t-mobile one time pass. get reward https://aritc.yru.ac.th/redirect/78?url=bit.do/jmelgrud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102.0,ham,oooh bed ridden ey? thinking of?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3886.0,phishing,"dear customer,your apple 1d due expire today prevent confiming apple id ataligaid daal.au",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3476.0,ham,hi.what think match?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1426.0,phishing,want explicit sex 30 secs? ring 02073162414 now! cost 20p/min gsex pobox 2667 wc1n 3xx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010.0,ham,enjoy ur life. . good night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3590.0,phishing,great news! call freefone 08006344447 claim guaranteed £1000 cash £2000 gift. speak live operator now!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6505.0,phishing,"amazon account locked. recently received multiple failed login attempt account. recover account immediately click link bellow: http://s953643025.onlinehome.us/preprefix?_recovraccount please take action account within 48 hour avoid permanent suspension. regards, amazon service",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2629.0,ham,*deep sigh* ... miss :-( ... really surprised gone net cafe yet get ... miss me?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5828.0,phishing,natalie (20/f) inviting friend. reply yes-165 no-165 see her: www.sms.ac/u/natalie2k9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884.0,ham,thank you. like well...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056.0,ham,completed degree. use joining finance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3275.0,ham,lol ok ill try send. warned sprint dead slow. prolly get tomorrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436.0,ham,u know watchin lido?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1624.0,ham,know result.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971.0,ham,ofcourse also upload song,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333.0,phishing,unsubscribed services. get ton sexy babe hunk straight phone! go http://gotbabes.co.uk. subscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
